symbol,timestamp,open,high,low,close,volume,trade_count,vwap,date,sentiment
GOOGL,2024-03-27 04:00:00+00:00,151.18,151.635,148.9,150.87,22879178.0,303478.0,150.15937,2024-03-27,0.0
GOOGL,2024-03-28 04:00:00+00:00,150.85,151.43,150.17,150.93,24485390.0,252124.0,150.872134,2024-03-28,0.0
GOOGL,2024-04-01 04:00:00+00:00,150.69,155.74,150.61,155.49,31730848.0,400134.0,154.886445,2024-04-01,-0.5
GOOGL,2024-04-02 04:00:00+00:00,153.5,154.7,152.15,154.56,24585985.0,308546.0,153.742539,2024-04-02,0.2
GOOGL,2024-04-03 04:00:00+00:00,153.6,155.08,152.73,154.92,24704991.0,301535.0,154.330143,2024-04-03,0.3
GOOGL,2024-04-04 04:00:00+00:00,153.5,154.77,150.45,150.53,34724738.0,426082.0,152.537394,2024-04-04,0.1
GOOGL,2024-04-05 04:00:00+00:00,150.03,153.42,149.6,152.5,23459246.0,308516.0,152.374762,2024-04-05,0.5
GOOGL,2024-04-08 04:00:00+00:00,152.78,155.27,152.61,154.85,20701974.0,275573.0,154.628409,2024-04-08,0.8
GOOGL,2024-04-09 04:00:00+00:00,156.085,158.56,155.19,156.6,31113013.0,387153.0,156.708735,2024-04-09,0.5
GOOGL,2024-04-10 04:00:00+00:00,156.21,156.61,154.68,156.14,22838629.0,330071.0,155.731725,2024-04-10,0.8
GOOGL,2024-04-11 04:00:00+00:00,156.91,159.68,156.46,159.41,27166431.0,333353.0,158.438782,2024-04-11,0.5
GOOGL,2024-04-12 04:00:00+00:00,157.96,160.2225,157.14,157.73,25340929.0,323766.0,158.18726,2024-04-12,-0.5
GOOGL,2024-04-15 04:00:00+00:00,158.86,159.24,154.59,154.86,27136472.0,357445.0,156.604561,2024-04-15,-0.5
GOOGL,2024-04-16 04:00:00+00:00,154.19,155.65,153.43,154.4,20779495.0,298253.0,154.518523,2024-04-16,-0.2
GOOGL,2024-04-17 04:00:00+00:00,155.62,157.08,154.58,155.47,21763130.0,295796.0,155.760802,2024-04-17,0.2
GOOGL,2024-04-18 04:00:00+00:00,155.34,156.94,154.62,156.01,19883044.0,283184.0,156.032668,2024-04-18,-0.5
GOOGL,2024-04-19 04:00:00+00:00,156.2,156.36,152.3,154.09,32615639.0,353933.0,154.234854,2024-04-19,0.2
GOOGL,2024-04-22 04:00:00+00:00,154.31,157.64,154.06,156.28,26446206.0,327895.0,156.004785,2024-04-22,0.2
GOOGL,2024-04-23 04:00:00+00:00,156.96,158.97,156.28,158.26,21151568.0,278620.0,158.116353,2024-04-23,0.1
